fatal: logger fatal
error: logger error
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
fatal: Poductos no encontrados
fatal: Poductos no encontrados
fatal: Poductos no encontrados
fatal: Poductos no encontrados
fatal: Poductos no encontrados
fatal: Poductos no encontrados
fatal: Poductos no encontrados
fatal: Poductos no encontrados
fatal: Poductos no encontrados
fatal: Poductos no encontrados
fatal: Poductos no encontrados
fatal: Poductos no encontrados
fatal: Poductos no encontrados
error: Usuario no autenticado
error: Usuario no autenticado
error: Usuario no autenticado
